Date,Open,High,Low,Close,Adj Close,Volume
2018-03-13,9.210000,9.530000,9.210000,9.230000,9.070990,33200
2018-03-14,8.960000,9.180000,8.920000,8.920000,8.766331,205400
2018-03-15,8.980000,9.180000,8.980000,9.020000,8.864608,163500
2018-03-16,8.990000,9.180000,8.900000,8.900000,8.746675,372300
2018-03-19,9.180000,9.180000,8.930000,9.020000,8.864608,12200
2018-03-20,8.850000,9.010000,8.850000,9.000000,8.844953,135900
2018-03-21,8.850000,8.900000,8.690000,8.750000,8.599259,80600
2018-03-22,8.770000,8.920000,8.740000,8.900000,8.746675,68400
2018-03-23,8.950000,9.260000,8.930000,8.930000,8.776158,128600
2018-03-26,9.310000,9.350000,9.190000,9.190000,9.031678,96700
2018-03-27,9.280000,9.300000,9.070000,9.070000,8.913746,110800
2018-03-28,9.190000,9.260000,9.020000,9.140000,8.982541,38400
2018-03-29,9.290000,9.360000,9.100000,9.310000,9.149612,5300
2018-04-02,9.290000,9.320000,9.030000,9.180000,9.021852,4600
2018-04-03,9.410000,9.410000,9.150000,9.340000,9.179095,4600
2018-04-04,9.360000,9.660000,9.360000,9.660000,9.493582,4500
2018-04-05,9.680000,9.900000,9.600000,9.650000,9.483754,23900
2018-04-06,9.840000,9.980000,9.780000,9.910000,9.739275,8400
2018-04-09,9.900000,10.050000,9.860000,10.000000,9.827724,62800
2018-04-10,10.020000,10.060000,9.980000,10.050000,9.876863,8300
2018-04-11,10.250000,10.250000,9.930000,10.180000,10.004624,6200
2018-04-12,9.560000,9.910000,9.520000,9.730000,9.562376,5400
2018-04-13,9.900000,10.060000,9.870000,9.870000,9.699965,7600
2018-04-16,10.220000,10.250000,9.980000,10.250000,10.073418,11700
2018-04-17,10.000000,10.250000,10.000000,10.150000,9.975141,34800
2018-04-18,9.980000,10.260000,9.980000,10.120000,9.945658,28500
2018-04-19,9.960000,10.210000,9.870000,10.180000,10.004624,3200
2018-04-20,9.810000,9.830000,9.620000,9.810000,9.640998,3700
2018-04-23,10.490000,10.490000,10.060000,10.400000,10.220834,20900
2018-04-24,10.390000,10.390000,10.200000,10.250000,10.073418,10300
2018-04-25,10.240000,10.420000,10.240000,10.420000,10.240489,4500
2018-04-26,10.410000,10.490000,10.160000,10.170000,9.994796,13000
2018-04-27,10.100000,10.240000,9.990000,10.190000,10.014451,3600
2018-04-30,10.210000,10.240000,9.960000,10.240000,10.063590,5500
2018-05-01,9.900000,10.060000,9.860000,10.060000,9.886691,3700
2018-05-02,10.240000,10.420000,10.180000,10.420000,10.240489,7000
2018-05-03,10.290000,10.290000,9.990000,10.250000,10.250000,111300
2018-05-04,10.710000,10.790000,10.630000,10.750000,10.750000,7900
2018-05-07,10.670000,10.850000,10.610000,10.610000,10.610000,3300
2018-05-08,11.040000,11.300000,11.040000,11.280000,11.280000,53800
2018-05-09,11.320000,11.690000,11.320000,11.690000,11.690000,6600
2018-05-10,11.570000,11.570000,11.450000,11.470000,11.470000,10900
2018-05-11,11.800000,11.960000,11.800000,11.890000,11.890000,4900
2018-05-14,11.710000,12.020000,11.710000,12.020000,12.020000,4300
2018-05-15,11.090000,11.090000,10.720000,11.050000,11.050000,10000
2018-05-16,10.680000,10.720000,10.500000,10.510000,10.510000,2600
2018-05-17,10.510000,10.740000,10.500000,10.610000,10.610000,4500
2018-05-18,10.590000,10.660000,10.330000,10.400000,10.400000,1400
2018-05-21,10.310000,10.650000,10.270000,10.370000,10.370000,47400
2018-05-22,10.300000,10.380000,10.300000,10.300000,10.300000,80500
2018-05-23,9.680000,10.050000,9.680000,10.030000,10.030000,4800
2018-05-24,10.540000,10.580000,10.190000,10.460000,10.460000,224200
2018-05-25,9.940000,10.410000,9.940000,10.110000,10.110000,27700
2018-05-29,10.260000,10.260000,9.970000,9.990000,9.990000,7900
2018-05-30,10.030000,10.160000,9.950000,10.130000,10.130000,17100
2018-05-31,10.410000,10.710000,10.360000,10.360000,10.360000,4500
2018-06-01,10.600000,10.650000,10.400000,10.590000,10.590000,8100
2018-06-04,10.380000,10.610000,10.300000,10.350000,10.350000,6400
2018-06-05,10.130000,10.570000,10.130000,10.540000,10.540000,16500
2018-06-06,10.100000,10.270000,10.020000,10.020000,10.020000,6500
2018-06-07,10.400000,10.410000,10.260000,10.300000,10.300000,21000
2018-06-08,9.960000,10.260000,9.960000,10.250000,10.250000,15500
2018-06-11,10.330000,10.330000,10.060000,10.120000,10.120000,18700
2018-06-12,10.210000,10.210000,9.870000,10.140000,10.140000,22700
2018-06-13,9.950000,10.000000,9.840000,9.980000,9.980000,29200
2018-06-14,9.820000,9.850000,9.600000,9.640000,9.640000,3900
2018-06-15,9.440000,9.630000,9.440000,9.610000,9.610000,15400
2018-06-18,9.550000,9.680000,9.550000,9.670000,9.670000,24100
2018-06-19,9.110000,9.600000,9.110000,9.440000,9.440000,7100
2018-06-20,9.680000,9.680000,9.350000,9.500000,9.500000,2700
2018-06-21,9.230000,9.520000,9.230000,9.300000,9.300000,15700
2018-06-22,9.480000,9.620000,9.300000,9.530000,9.530000,12600
2018-06-25,9.150000,9.400000,9.150000,9.300000,9.300000,2800
2018-06-26,9.550000,9.580000,9.340000,9.580000,9.580000,5100
2018-06-27,9.200000,9.250000,9.070000,9.150000,9.150000,3900
2018-06-28,9.430000,9.460000,9.140000,9.250000,9.250000,3000
2018-06-29,9.360000,9.400000,9.090000,9.190000,9.190000,8300
2018-07-02,8.860000,9.270000,8.860000,9.090000,9.090000,9000
2018-07-03,9.410000,9.460000,9.310000,9.460000,9.460000,1700
2018-07-05,8.970000,9.180000,8.950000,9.180000,9.180000,5600
2018-07-06,8.970000,8.990000,8.920000,8.970000,8.970000,9700
2018-07-09,8.890000,9.210000,8.890000,9.000000,9.000000,3400
2018-07-10,9.520000,9.700000,9.470000,9.570000,9.570000,15700
2018-07-11,9.580000,9.580000,9.420000,9.420000,9.420000,1200
2018-07-12,9.460000,9.460000,9.140000,9.220000,9.220000,7700
2018-07-13,9.200000,9.200000,8.930000,9.000000,9.000000,2800
2018-07-16,8.870000,9.180000,8.870000,8.870000,8.870000,2200
2018-07-17,9.200000,9.200000,8.970000,9.010000,9.010000,4000
2018-07-18,9.010000,9.200000,9.010000,9.030000,9.030000,2700
2018-07-19,9.110000,9.110000,8.830000,9.010000,9.010000,4200
2018-07-20,8.960000,8.960000,8.690000,8.690000,8.690000,2000
2018-07-23,8.570000,8.640000,8.490000,8.640000,8.640000,3800
2018-07-24,8.740000,8.890000,8.740000,8.840000,8.840000,3100
2018-07-25,9.170000,9.250000,8.870000,9.150000,9.150000,10800
2018-07-26,9.730000,9.760000,9.590000,9.590000,9.590000,9800
